img_name,timestamp_utc,mattime,fsc_z,fsc_thn_z,cf_shcu,cf_tot,solar_azimuth,skyopq,skythn,clr_z,thn_z,opq_z,cbh_bin,spd_rwp_cbh,dirn_rwp_cbh
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181000.png.20120525181000.png,2.01205E+13,735014.7569,0.831912014,0.294245269,0.391111111,0.391111111,165.4481812,41.88091278,28.07806778,7825,13698,25030,953.5036496,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181030.png.20120525181030.png,2.01205E+13,735014.7573,0.853886277,0.402902097,0.426666667,0.426666667,165.8636475,39.61177063,31.64776611,6807,18770,21010,953.2307692,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181100.png.20120525181100.png,2.01205E+13,735014.7576,0.77695989,0.455479967,0.457777778,0.457777778,166.2802887,35.06141281,33.12700653,10393,21224,14980,953.4146341,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181130.png.20120525181130.png,2.01205E+13,735014.758,0.685109304,0.38021582,0.464285714,0.464285714,166.6980896,32.8781929,31.8549366,14678,17723,14212,953,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181200.png.20120525181200.png,2.01205E+13,735014.7583,0.610290953,0.301971249,0.462222222,0.462222222,167.1170044,33.61920547,29.4588356,18109,14032,14327,956.1290323,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181230.png.20120525181230.png,2.01205E+13,735014.7587,0.656166004,0.391097731,0.444444444,0.444444444,167.5370178,31.47558784,33.29159546,15990,18188,12327,956.3492063,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181300.png.20120525181300.png,2.01205E+13,735014.759,0.613087169,0.438125363,0.431111111,0.431111111,167.9580994,29.3963604,35.09977341,17981,20361,8131,956.5625,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181330.png.20120525181330.png,2.01205E+13,735014.7594,0.61765084,0.419737744,0.426666667,0.426666667,168.3802185,28.37757111,35.03273392,17845,19590,9237,956.5625,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181400.png.20120525181400.png,2.01205E+13,735014.7597,0.554934783,0.3010078,0.426666667,0.426666667,168.8033295,29.64665031,30.3476963,20712,14008,11817,957.8787879,11.51666657,171.8291821
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.181430.png.20120525181430.png,2.01205E+13,735014.7601,0.580168912,0.273461844,0.428571429,0.428571429,169.2274017,32.49935532,26.93985176,19536,12725,14272,959.1176471,11.51666657,171.8291821
